# q     qr    freq
# 2pi/L  2pi/L sqrt(epsilon/(m.sigma^2)!
-0.5 0 0 0  1.98668
-0.4375 0 0 0.0625  1.9645
-0.375 0 0 0.125  1.85565
-0.3125 0 0 0.1875  1.66462
-0.25 0 0 0.25  1.421
-0.1875 0 0 0.3125  1.11671
-0.125 0 0 0.375  0.75359
-0.0625 0 0 0.4375  0.398643
0 0 0 0.5  0
0.0625 0 0 0.5625  0.398643
0.125 0 0 0.625  0.75359
0.1875 0 0 0.6875  1.11671
0.25 0 0 0.75  1.421
0.3125 0 0 0.8125  1.66462
0.375 0 0 0.875  1.85565
0.4375 0 0 0.9375  1.9645
0.5 0 0 1  1.98668
