# q     qr    freq
# 2pi/L  2pi/L sqrt(epsilon/(m.sigma^2)!
-0.5 0 0 0  1.97971
-0.4375 0 0 0.0625  1.96887
-0.375 0 0 0.125  1.85379
-0.3125 0 0 0.1875  1.66713
-0.25 0 0 0.25  1.41648
-0.1875 0 0 0.3125  1.10872
-0.125 0 0 0.375  0.768145
-0.0625 0 0 0.4375  0.399911
0 0 0 0.5  0
0.0625 0 0 0.5625  0.399911
0.125 0 0 0.625  0.768145
0.1875 0 0 0.6875  1.10872
0.25 0 0 0.75  1.41648
0.3125 0 0 0.8125  1.66713
0.375 0 0 0.875  1.85379
0.4375 0 0 0.9375  1.96887
0.5 0 0 1  1.97971
